trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.0035, 'e': 0.9369494332599789}",20,0,-148.30037386839635,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
103,False,"{'a': 0.0035, 'e': 0.9357205695815358}",20,0,-66.76131049341618,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.0035, 'e': 0.9344802433378168}",20,0,-163.55902562003885,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
105,False,"{'a': 0.0035, 'e': 0.9332284697228027}",20,0,-143.3693683471518,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
106,False,"{'a': 0.0035, 'e': 0.9319652640707048}",20,0,-60.3559492204682,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",1
107,False,"{'a': 0.0035, 'e': 0.9306906418557763}",35,4,-108.56583385901196,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 1}",1
108,False,"{'a': 0.0035, 'e': 0.9294046186921237}",30,0,-189.95762555314903,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
109,False,"{'a': 0.0035, 'e': 0.9281072103335144}",20,0,-82.20889903915455,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
110,False,"{'a': 0.0035, 'e': 0.9267984326731847}",20,0,-60.457361235957826,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
111,False,"{'a': 0.0035, 'e': 0.9254783017436445}",25,0,-185.04673556810445,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
112,False,"{'a': 0.0035, 'e': 0.9241468337164814}",25,0,-93.62514005463392,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
113,False,"{'a': 0.0035, 'e': 0.9228040449021618}",30,0,-69.49791324476847,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
114,False,"{'a': 0.0035, 'e': 0.921449951749832}",35,0,-176.01975911121366,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
115,False,"{'a': 0.0035, 'e': 0.9200845708471163}",25,0,-55.17485030416095,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
116,False,"{'a': 0.0035, 'e': 0.9187079189199134}",30,0,-210.80135196989545,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
117,False,"{'a': 0.0035, 'e': 0.9173200128321924}",25,0,-196.0828138372346,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
118,False,"{'a': 0.0035, 'e': 0.9159208695857856}",20,0,-46.459584415070616,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
119,False,"{'a': 0.0035, 'e': 0.91451050632018}",20,1,-40.43075847766488,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 0}",1
120,False,"{'a': 0.0035, 'e': 0.9130889403123083}",30,13,-24.29599408275862,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
121,False,"{'a': 0.0035, 'e': 0.911656188976336}",20,0,-204.12753301430567,"{0: 6, 1: 2, 2: 8, 3: 2, 4: 2}",1
122,False,"{'a': 0.0035, 'e': 0.9102122698634492}",20,5,-40.5648199946058,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",1
123,False,"{'a': 0.0035, 'e': 0.908757200661639}",20,0,-134.0764804938612,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
124,False,"{'a': 0.0035, 'e': 0.9072909991954848}",25,0,-76.89718325527112,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 0.0035, 'e': 0.9058136834259364}",35,0,-134.61178674313626,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
126,False,"{'a': 0.0035, 'e': 0.9043252714500934}",30,0,-224.10489353989513,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
127,False,"{'a': 0.0035, 'e': 0.9028257815009839}",20,0,-195.8965283527618,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
128,False,"{'a': 0.0035, 'e': 0.9013152319473411}",25,0,-139.37956717573886,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
129,False,"{'a': 0.0035, 'e': 0.8997936412933779}",30,0,-232.37071871141657,"{0: 13, 1: 6, 2: 6, 3: 2, 4: 3}",0
130,False,"{'a': 0.0035, 'e': 0.8982610281785611}",25,0,-63.54432869751264,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
131,False,"{'a': 0.0035, 'e': 0.896717411377382}",20,0,-105.02452407792335,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
132,False,"{'a': 0.0035, 'e': 0.8951628097991272}",35,0,-109.77205556204503,"{0: 23, 1: 2, 2: 7, 3: 3, 4: 0}",0
133,False,"{'a': 0.0035, 'e': 0.8935972424876465}",20,3,-81.63742889976093,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
134,False,"{'a': 0.0035, 'e': 0.89202072862112}",25,0,-200.39562377184672,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
135,False,"{'a': 0.0035, 'e': 0.8904332875118227}",25,0,-51.383280486040626,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
